iTruth about blockchain|There are many misleading stories about blockchain. Much of the stories are about cryptocurrencies that led to incredible wealth or nightmare losses, or form the basis for a new financial system that supports dark markets for weapons or drugs. Blockchain is also considered a technology with enormous energy requirements. The variety of design and application possibilities of this technology and the opportunities thvat result from it are omitted from these stories.
Blockchain demystified: Distributed data management.|This course explains blockchain beyond this garish and sensational image. Blockchain is above all a technology for distributed, flexible and individualized data management. Essentially, the data refers to participants, documents and transactions that change the status and characteristics of the participants or the things described in the documents.
Blockchain: Grouped distributed consensus technology.|Strictly speaking, blockchain and distributed technology is less a technology itself, but rather a technology group that can be characterized, at least from an algorithmic point of view, via a protocol of chaining, distribution, and consensus. The basic principles have been known for a long time and have also been used in the context of public data security.
Decentralized chain of linked blocks.|A blockchain is initially a chain of blocks. These blocks, in which transactions are stored, are linked together. The storage location is the so-called ledger (account book or journal, which is known from accounting). Blockchains are stored decentrally in a peer-to-peer (P2P) network. A ledger is therefore a kind of distributed account book for the permanent and tamper-proof storage of transaction data. Each computer on the distributed P2P network maintains a copy of this account book to avoid a single point of failure (SPOF). All copies of the blockchain are updated and validated at the same time.
Information on transactions and participants.|Transaction data is information about transactions. They usually refer to the time of the transaction, the participants executing or affecting the transaction, and the things or assets to which the transaction relates. A transaction can be considered as a sequence of an exchange of information for a specific purpose (e.g. sale of a bond). The exchange of information is considered a closed unit. Transaction data can be financial, logistical, or production-related in nature and can relate to a purchase, delivery status, hours worked, insurance premium, or claim.
Mapped transaction data in blockchain-ledger.|Transaction data related to a specific item, document, or asset is mapped in a blockchain, which in turn is stored in a ledger along with all other blockchains. A document can be a patient file, the presentation of a claim, a certificate of completion or a certificate. The documents can also describe assets, such as land, holdings or cars. But they can also refer to goods or services.
Central data management: basics|Centralized and decentralized data managing. Central data management. In central systems, the components are arranged around a central component and connected to it. In contrast, the components of distributed systems form a network of connected components without having central elements of coordination or control. Centralized databases have been used by organizations for many years to store customer data and transaction records of one type or another, among other things.
Central data management: control and privileges|There are carefully monitored and closed systems in which only privileged users are allowed to make entries. For example, when a customer transfers money from one bank account to another, they ask the bank to do so on their behalf instead of dealing directly with the bank's transaction system. Centralization is associated with the paradigm of central control. This has other implications. A central system is a system that, by definition, has a critical source of failure. It also implies a concentration of power when some privileged users have the prerogative to manipulate transactions, for example, for unilaterally canceling a transaction or charging fees.
Central data management: risk of SPOF|Central data management carries the risk of single point of failure (SPOF). A SPOF is generally a potential risk arising from an error in the design, implementation, or configuration of a system, where this error or malfunction causes the overall system to become functional. In an IT environment, a single point of failure can thwart the availability of IT services. Imagine an IT environment in which a single server runs a specific application. If the server were to fail, all services accessing this application would also fail or at least behave unstable.
Central data management: server failure|The loss of data can also result from the server failure. If a SPOF poses a serious threat, a second (or even third) server is often deployed that can mirror the services of the first server and take on its role in the event of a failure.
Decentralized data management: advantages|Advantages of distributed systems  over single and powerful computers (which are necessary for central systems): Higher computing power: The computing power of a distributed system results from the combination of the computing power of all connected computers. Therefore, distributed systems usually have more computing power than any individual computer. Cost reduction: The cost of creating, maintaining, and operating a central supercomputer is much higher than the cost  of creating, maintaining, and operating a distributed system.
Decentralized data management: further advantages|In particular, the replacement of individual computers of a distributed system can be done without significant effects on the overall system. Higher reliability: A distributed system  does not have a single point of failure. The reliability of a distributed system is based on the fact that the entire computer network can continue to work even in the event of a crash of individual computers. The ability to grow naturally. The computing power of a distributed system results from the aggregated computing power of its components.
Decentralized data management: disadvantages|An increase in computer performance is possible by connecting additional computers to the system. The disadvantages of distributed systems compared to central individual computers are: Coordination effort: Distributed systems do not have central entities that coordinate their members. Coordination must be carried out by the members of the system themselves. Communication effort: Coordination requires communication. Computers that form a distributed system must communicate with each other. 
